Document_Title1,Document_Title2,Similarity
Conservative sources deny David Cameron pig’s head allegations ,David Cameron biography: No 10 refuses to comment on debauchery claims ,0.8819457292556763
Conservative sources deny David Cameron pig’s head allegations ,Cameron biography: Ashcroft makes new debauchery claims about student days ,0.8095877766609192
Tory election victory focuses EU minds on British membership ,Europe braces for David Cameron's EU demands after Tory election win ,0.722134530544281
Lord Sewel faces police investigation after resigning over cocaine allegations ,Lord Sewel: timeline of events following Sun on Sunday revelations ,0.7678282856941223
Labour expels Denis MacShane over false expenses invoices ,Denis MacShane resigns as MP over expenses ,0.9150540232658386
AbbVie's raised proposal for Shire gets board backing ,AbbVie withdraws bid for Shire after US gets tough on tax ,0.7474127411842346
BT tops 1 million TV customers mark ,BT's TV customer growth slows but broadband market share grows ,0.7183555960655212
BT tops 1 million TV customers mark ,BT's push into football and fibre broadband drives up revenues ,0.7077676653862
"Labour faces massive losses to SNP at UK general election, poll shows ",Ed Miliband: Labour faces a fight to save its Scottish MPs ,0.8573845624923706
Ukip's Godfrey Bloom will not apologise over 'bongo bongo land' comments ,Ukip tells Godfrey Bloom to stop referring to 'bongo bongo land' ,0.9102458357810974
Barclays shareholders urge new chairman to bring his ‘chainsaw’ ,John McFarlane brings his chainsaw to Barclays ,0.7213397026062012
"Aldermore doubles profits, boosting case for stock market flotation ",Lender Aldermore remains coy over resuming £800m market float ,0.7316555380821228
Nigel Farage distances himself from MEP over 'Muslim code of conduct' ,Ukip MEP says British Muslims should sign charter rejecting violence ,0.8445814847946167
GlaxoSmithKline confirms existence of sex tape of former China boss ,Corporate detectives linked to GlaxoSmithKline on trial in Shanghai ,0.7049872279167175
Siemens enters Alstom takeover battle with General Electric ,French president meets rival German and US bidders for Alstom ,0.7531816959381104
Clash of Clans maker Supercell raises $1.5bn to become the next Nintendo ,Clash of Clans maker Supercell made $892m from two mobile games in 2013 ,0.7183137536048889
Sewel labelled 'bad apple' as pressure mounts on him to resign from Lords ,Lord Sewel quits House of Lords over sex and drugs claims ,0.7518198490142822
Sewel labelled 'bad apple' as pressure mounts on him to resign from Lords ,Lord Sewel: timeline of events following Sun on Sunday revelations ,0.847429096698761
Sewel labelled 'bad apple' as pressure mounts on him to resign from Lords ,Scotland Yard investigates allegations of drug use by Lord Sewel ,0.8389946222305298
Sewel labelled 'bad apple' as pressure mounts on him to resign from Lords ,Lord Sewel faces police investigation after resigning over cocaine allegations ,0.8443424105644226
A history of bitcoin hacks ,A history of bitcoin hacks ,1.000000238418579
Alex Salmond ties to Murdoch revealed ,Leveson inquiry: Rupert Murdoch attracted by Scottish independence ,0.7044269442558289
Ander Herrera pays up contract and signs for Manchester United ,Luke Shaw passes medical at Manchester United for £30m move ,0.7429478168487549
Bank of England holds interest rates amid concern for wage growth ,Bank of England unease grows despite keeping rates at 0.5% ,0.8038778305053711
Bitcoin exchange MtGox offline amid rumours of theft ,Mt.Gox v Fort Knox: What happens when a bitcoin exchange collapses ,0.7230410575866699
Collapse of oil prices leads world economy into trouble ,Opec looking for a Thanksgiving Day miracle as it faces glut of crude oil ,0.7352858185768127
Wonga profits set to nosedive 40% ,Wonga appoints chairman with blue-chip financial credentials ,0.7202679514884949
Wonga profits set to nosedive 40% ,Wonga profits halve after customer damages payouts ,0.8204870820045471
"World Cup: I dived but penalty was real, says Arjen Robben ","World Cup: I dived but penalty was real, says Arjen Robben ",1.0000001192092896
Candy Crush bosses set to taste sweet success with flotation of gaming firm ,Who are the Candy Crush millionaires? ,0.8925185203552246
Pride review – when gay activists struck a deal with miners ,Cannes 2014 review: Pride - Billy Elliot continued with rousing gay rights romance set during miners' strike ,0.7244110107421875
JP Morgan facing third quarter loss after $9.2bn legal costs ,JP Morgan close to agreeing $13bn settlement with US authorities ,0.7267856597900391
Godfrey Bloom expresses 'sincere regret' for 'bongo bongo land' remarks ,Ukip tells Godfrey Bloom to stop referring to 'bongo bongo land' ,0.7511872053146362
Godfrey Bloom expresses 'sincere regret' for 'bongo bongo land' remarks ,Ukip's Godfrey Bloom will not apologise over 'bongo bongo land' comments ,0.7718604207038879
What did Robin Williams mean to you? ,What did Robin Williams mean to you? ,1.0
The 50 best Android games of 2013 ,50 best iPhone and iPad games of 2013 ,0.7302924990653992
David Cameron faces calls to publish guest list for lavish Tory summer dinner ,"Tory summer party: bottle of bubbly signed by Thatcher fetched £45,000 ",0.7511336803436279
Daniel Radcliffe won't appear in JK Rowling's Fantastic Beasts saga ,Daniel Radcliffe says Harry Potter cameo in Fantastic Beasts not ruled out ,0.7597183585166931
Burnham accuses Labour factions of 'circling the Corbyn wagon' ,Andy Burnham and Yvette Cooper trade blows as leadership contest intensifies ,0.9027968049049377
Tory caught signing up as Labour supporter wanted to expose vote 'farce' ,Labour leadership vote: Harriet Harman asks MPs to vet new party members ,0.7129582166671753
China charges GSK foreign consultants with illegal investigation ,Corporate detectives linked to GlaxoSmithKline on trial in Shanghai ,0.7018308043479919
Co-operative Group: how an ambitious mutual went into meltdown ,The Rochdale Pioneers to Paul Flowers: how the Co-operative dream died ,0.7515657544136047
Cameron rounds on Labour as he shuns Commonwealth opening in Sri Lanka ,David Cameron's car surrounded by Sri Lankan protesters ,0.7957687973976135
Pfizer's battle to buy AstraZeneca – timeline ,Pfizer raises stakes with final AstraZeneca takeover approach ,0.7568749785423279
Pfizer's battle to buy AstraZeneca – timeline ,Pfizer ends attempt to buy AstraZeneca ,0.7537220120429993
Pfizer's battle to buy AstraZeneca – timeline ,Pfizer failed in its takeover bid for AstraZeneca because of overconfidence ,0.7324609160423279
Pfizer's battle to buy AstraZeneca – timeline ,AstraZeneca tells shareholders to stop pressuring it to reconsider Pfizer ,0.7110095024108887
FCA investigates accounts of insurance claims handler Quindell ,Quindell plans board clearout after agreeing sell-off ,0.7098998427391052
Raheem Sterling back training while Liverpool name Henderson captain ,Steven Gerrard condemns Raheem Sterling’s Liverpool ‘carry-on’ ,0.7658424377441406
Nokia and Microsoft join forces in bid to win smartphone war ,"Nokia's survival in question after 10,000 more job are cut ",0.7111189365386963
Nokia and Microsoft join forces in bid to win smartphone war ,Nokia and Microsoft sign strategic tie-up ,0.7186568975448608
Shire pharmaceutical valued at £30bn in new AbbVie bid ,AbbVie withdraws bid for Shire after US gets tough on tax ,0.7122931480407715
Shire pharmaceutical valued at £30bn in new AbbVie bid ,AbbVie's raised proposal for Shire gets board backing ,0.7543036341667175
Vince Cable makes direct challenge to Cameron over economic programme ,Vince Cable contradicts Osborne in call for more borrowing to ease bottlenecks ,0.8546712398529053
Vince Cable makes direct challenge to Cameron over economic programme ,Clegg fails to back Cable's call for more borrowing to fund capital investment ,0.7109231948852539
Nick Clegg: David Cameron’s stance on TV debates ‘slightly laughable’ ,Leaders' debates: PM and Miliband accuse each other of running scared ,0.7204524874687195
Where next for the heads of Pfizer and AstraZeneca? ,Pfizer raises stakes with final AstraZeneca takeover approach ,0.7124430537223816
Where next for the heads of Pfizer and AstraZeneca? ,Pfizer ends attempt to buy AstraZeneca ,0.7188785672187805
"Parties should not be brands, Brown says as he prepares to quit as MP ",Gordon Brown stands down as MP ,0.7049661874771118
Windows 8 hits 200m licences - at a pace putting it on a par with Vista ,"Windows 8: forget 100m licences 'sold', here's how many PCs are running it ",0.7424806952476501
David Beckham confirms MLS team for Miami ,David Beckham may tempt superstar mates to Miami for new MLS team ,0.7532293200492859
TSB sold to Spain's Sabadell bank ,TSB shares surge after takeover approach from Spanish bank ,0.7563942670822144
"Tor can handle Aphex Twin – but could it deal with Taylor Swift, like, ever? ",What is Tor? A beginner's guide to the privacy tool ,0.7590133547782898
Nokia setting sights on Alcatel-Lucent ,"Nokia, Alcatel-Lucent buyout talks: telecoms chiefs meet French president ",0.7919735908508301
"Lance Armstrong film on way, with JJ Abrams in saddle ",Bradley Cooper to star as Lance Armstrong in forthcoming biopic ,0.7427659034729004
Tom Watson: 'A huge injustice has been done' to Labour in Falkirk ,Labour's Tom Watson accuses party of 'huge injustice' over Falkirk ,0.7589980363845825
World Cup 2014: all our biggest and best features in one place ,World Cup 2014: all our biggest and best features in one place ,0.9999999403953552
GlaxoSmithKline admits some staff in China involved in bribery ,Corporate detectives linked to GlaxoSmithKline on trial in Shanghai ,0.7034950852394104
Samsung set to add Apple's iPhone 5 to its lawsuits alleging patent infrigement ,Apple to seek injunction against Samsung smartphones and tablets and could triple fine ,0.7260111570358276
Eurozone crisis: high-stakes gamble as David Cameron warns Greek voters ,"Cameron 'posturing' is exacerbating eurozone crisis, says Balls ",0.9506861567497253
"BP's reputation in the US is torched, so now it's Bolshoi Petroleum ",TNK-BP boss predicted break-up of joint venture ,0.7016359567642212
Radamel Falcao joins Manchester United in £16m season-long loan deal ,Radamel Falcao to move to Manchester United on season-long loan ,0.7436851859092712
Len McCluskey: union link with Labour at risk if party fails to pick 'correct leader' ,Len McCluskey: Labour's union link depends on concerns of next leader ,0.735848605632782
"Malky Mackay: I’m no racist, sexist, homophobe or antisemite ",Cardiff call on LMA chief Richard Bevan to resign over Mackay row ,0.825937032699585
Barclays sued by New York attorney general over alleged 'dark pool' fraud ,Barclays investigated in US over 'dark pool' activities ,0.8735176920890808
The MPs the Tory party fears could defect to Ukip ,"Two more Tory MPs set to defect if Ukip wins in Rochester, says Reckless ",0.7391675710678101
Corby byelection: boost for Labour as 12% swing captures seat from Tories ,Labour snatches Corby from Tories ,0.8444951772689819
£2m a day cost of Cadbury deal – plus £12m for the boss ,Cadbury's board agrees £12bn sale to Kraft ,0.711129367351532
Luis Suárez given 10-match ban for biting Branislav Ivanovic ,Luis Suárez given 10-match ban for biting Branislav Ivanovic ,0.9999999403953552
"Ed Miliband lacks direction and fails to set agenda, says former Labour whip ",Ed Miliband's leadership attacked by veteran Labour backbencher ,0.7166311740875244
"Defence cuts could put military operations at risk, MPs warn ","Defence cuts could put operations at risk, MPs warn ",0.9486414790153503
Welfare reform minister: some disabled people ‘not worth’ minimum wage ,"Lord Freud’s comments about disabled people ‘deeply distressing’, says Clegg ",0.8840072154998779
Leeds United owner contradicts itself over plans to sell club ,New Leeds United owners decide to sell – three months after buying ,0.8021177649497986
Cardiff City's Malky Mackay clings on but sacking looks a formality ,Malky Mackay facing end as Cardiff owner tells him: quit or be sacked ,0.729549765586853
Angelina Jolie's aunt Debbie Martin dies of breast cancer ,Angelina Jolie reveals she has had preventive double mastectomy ,0.8625589609146118
Chelsea offered chance to sign Arda Turan from Atlético Madrid ,Atlético Madrid’s Arda Turan to decide on new club ‘in next four days’ ,0.7195015549659729
Nick Clegg mocks Grant Shapps over Wikipedia affair ,Grant Shapps accused of editing Wikipedia pages of Tory rivals ,0.7610617280006409
Media groups offer to move digital debate date to accommodate Cameron ,Grant Shapps: online debate plausible if No 10 and broadcasters cannot agree ,0.8321752548217773
Ballots sent out in Labour leadership vote ,Yvette Cooper: leadership candidates urged to pull out to avoid Corbyn win ,0.8900230526924133
"MPs' pay should go up 9% to £74,000, pay body recommends ",Pay rise of 11% for MPs criticised by Cameron as 'unacceptable' ,0.7606297135353088
Harvey Weinstein cancels release of Nicole Kidman's Grace Kelly biopic ,Grace of Monaco director calls Harvey Weinstein re-edit a 'pile of shit' ,0.768741250038147
Harvey Weinstein cancels release of Nicole Kidman's Grace Kelly biopic ,Harvey Weinstein could drop Grace Kelly biopic after row over final cut ,0.7317172288894653
Motorola Moto E review – is this the best smartphone under £90? ,Motorola launches £89 Moto E – its bargain basement smartphone ,0.8180948495864868
Motorola Moto E review – is this the best smartphone under £90? ,Motorola’s next generation Moto G stretches to a 5in screen ,0.7154461741447449
Motorola Moto E review – is this the best smartphone under £90? ,"Motorola Moto X review: less 'hello Moto', more hello Google ",0.7983033061027527
Motorola Moto E review – is this the best smartphone under £90? ,Motorola Moto G review – the best budget smartphone is just £135 ,0.8743734955787659
EasyJet chairman rails at founder's 'increasingly personalised attacks' ,EasyJet chairman survives bid to vote him off board ,0.7399036884307861
BNP Paribas regrets misconduct that led to record $8.8bn fine ,BNP Paribas pleads guilty to criminal charges in sanctions case ,0.960767924785614
Nigel Farage accuses Nick Clegg of hypocrisy in row over voting records ,Nick Clegg to accuse Ukip leader Nigel Farage of failing to stand up for Britain ,0.8465035557746887
Microsoft killing Nokia X Android smartphones after only four months ,Nokia embraces open source Android for new smartphone range ,0.7151798605918884
New code of police ethics follows Plebgate ,Plebgate: Andrew Mitchell welcomes apology from chief constables ,0.7192063927650452
Facebook and Oculus Rift: game developers react ,Facebook closes its $2bn Oculus Rift acquisition. What next? ,0.7609451413154602
Grangemouth plant saved after Unite gives in to Ineos demands ,Grangemouth oil refinery owner tells workers they face D-day ,0.7317821979522705
Grangemouth plant saved after Unite gives in to Ineos demands ,Grangemouth oil refinery 'faces permanent closure' ,0.7204028964042664
Grangemouth plant saved after Unite gives in to Ineos demands ,Grangemouth closure reversed after union accepts Ineos 'survival plan' ,0.7236675024032593
Fifa corruption charges: is this the beginning of the end for the house that Sepp Blatter built? ,Fifa in crisis as officials who presided over 'World Cup of fraud' are arrested ,0.705722451210022
Oculus Rift: Mark Zuckerberg targets 50m-100m headset sales in 10 years ,Facebook closes its $2bn Oculus Rift acquisition. What next? ,0.7111315131187439
Politics live: readers' edition - Friday 25 October ,Politics live: readers' edition - Monday 28 October ,0.9960946440696716
David Cameron condemns Sri Lanka's failure to investigate alleged war crimes ,David Cameron's car surrounded by Sri Lankan protesters ,0.7882968783378601
David Cameron condemns Sri Lanka's failure to investigate alleged war crimes ,Cameron rounds on Labour as he shuns Commonwealth opening in Sri Lanka ,0.9467572569847107
How Kremlin got diplomats to woo Tories ,Tory blushes deepen over activities of Conservative Friends of Russia ,0.8091476559638977
Customers criticise 'indie' image of the coffee shops part-owned by Tesco ,Harris + Hoole coffee shop chain planning to double in size ,0.702522873878479
HSBC bows to investor pressure to revoke chairman's bonus ,HSBC in last-minute talks to head off shareholder revolt over chairman's pay ,0.7113326787948608
Shire bosses to receive windfalls after takeover by AbbVie ,AbbVie's raised proposal for Shire gets board backing ,0.734039306640625
Shire bosses to receive windfalls after takeover by AbbVie ,Shire pharmaceutical valued at £30bn in new AbbVie bid ,0.7151714563369751
Steve Bruce urges Sunderland fans to give Titus Bramble a chance ,Sunderland offer David James a chance to stay in the Premier League ,0.7640408277511597
'China’s Apple' Xiaomi banned from selling phones in India ,China rising: Xiaomi becomes world's third biggest smartphone manufacturer ,0.7520809769630432
Searching for Sugar Man director Malik Bendjelloul dies aged 36 ,Searching for Malik Bendjelloul – a tragedy revisited ,0.7437657713890076
Lib Dems under pressure to abandon Lords reform ,Cameron poised to drop Lords reforms ,0.7540679574012756
Ridley Scott to direct new Blade Runner film ,Harrison Ford 'in talks' for Blade Runner sequel ,0.7482227683067322
"MPs' pay: rejection of Ipsa proposals would be a disaster, watchdog warns ",Pay rise of 11% for MPs criticised by Cameron as 'unacceptable' ,0.8543949723243713
"MPs' pay: rejection of Ipsa proposals would be a disaster, watchdog warns ","MPs' pay should go up 9% to £74,000, pay body recommends ",0.8008381128311157
UK shops could get tax cut after business-rate review ,Ed Balls 'forces' George Osborne into TV debate ,0.7471230626106262
Timeline: Cadbury's fight against Kraft ,Cadbury's board agrees £12bn sale to Kraft ,0.7414035797119141
Timeline: Cadbury's fight against Kraft ,£2m a day cost of Cadbury deal – plus £12m for the boss ,0.760890543460846
Liz Kendall backs Harriet Harman in Labour welfare row ,Harriet Harman to maintain welfare bill stance in face of Labour criticism ,0.7551597356796265
"Greek crisis: surrender fiscal sovereignty in return for bailout, Merkel tells Tsipras ",Greek debt crisis: Tsipras resists key bailout measures after 15 hours of talks ,0.9301416873931885
London mayor Boris Johnson reported to have paid US tax demand ,New York-born London mayor Boris Johnson refuses to pay US tax bill ,0.7357887625694275
Amazon launches HDX high-resolution Kindle Fires and 'Mayday' for help ,Amazon’s Kindle Fire HDX Android tablets hit the UK from £199 ,0.7256371974945068
"Proposed pay rise for MPs unacceptable, says David Cameron ",Ed Miliband calls for cross-party talks to stop 11% pay rise for MPs ,0.8557855486869812
"Proposed pay rise for MPs unacceptable, says David Cameron ",Pay rise of 11% for MPs criticised by Cameron as 'unacceptable' ,0.80144202709198
"Proposed pay rise for MPs unacceptable, says David Cameron ","MPs' pay should go up 9% to £74,000, pay body recommends ",0.716233491897583
"Proposed pay rise for MPs unacceptable, says David Cameron ","MPs' pay: rejection of Ipsa proposals would be a disaster, watchdog warns ",0.7382358908653259
GSK's China crisis: questions that need answers ,GlaxoSmithKline affirms policy of anti-corruption amid 14% profits fall ,0.738646388053894
GSK's China crisis: questions that need answers ,GlaxoSmithKline admits some staff in China involved in bribery ,0.8570523262023926
Rise and fall of Mohamed bin Hammam – timeline ,Qatar World Cup: Bin Hammam 'acted like head of crime organisation' ,0.7024926543235779
Windows 10: the start menu is back and nine other things to know ,Windows 8.1 to bring back Start Menu in free download ,0.7521654367446899
Revealed: Conservative party chiefs were warned of election aide's bullying ,Tory chairmen should quit over bullying scandal - activist's father ,0.8801383972167969
Heather Rabbatts hits out at FA over lack of diversity on its commission ,Sports minister Helen Grant concerned by Football Association commission ,0.7624427080154419
Celtic reinstated to Champions League after Uefa punishes Legia Warsaw ,Celtic face Maribor in Champions League as Legia Warsaw are devastated ,0.7678044438362122
Fifa corruption scandal: Jérôme Valcke described as sender of $10m to Jack Warner ,Fifa’s secretary general Jérôme Valcke under new pressure over $10m ‘bribe’ ,0.8140612244606018
JK Rowling's Fantastic Beasts to shoot in UK at home of Harry Potter ,Harry Potter spinoff Fantastic Beasts to be movie trilogy ,0.7175032496452332
Labour donor: Jeremy Corbyn win could cause SDP-style split ,"Jeremy Corbyn victory would be disaster for Labour, says Liz Kendall ",0.7466961145401001
Bad Neighbours review: Seth Rogen and Zac Efron gross but great ,Bad Neighbours review - Seth Rogen and Zac Efron gross but great ,0.8763670921325684
Jeremy Corbyn leadership campaign gives rise to new social movement ,Activists to harness Corbyn campaign energy with Momentum ,0.9136965274810791
Tottenham fans will face arrest if they use 'Yid' chants at home match ,Spurs fans could be arrested if they chant 'Yid' on Sunday ,0.7252023220062256
Shire confirms talks with US drug firm AbbVie over proposed £30bn deal ,AbbVie's raised proposal for Shire gets board backing ,0.7366535663604736
Shire confirms talks with US drug firm AbbVie over proposed £30bn deal ,Shire pharmaceutical valued at £30bn in new AbbVie bid ,0.7130081057548523
Grangemouth plant shutdown leaves government fighting to save 800 jobs ,Grangemouth union to meet Ineos in bid to save petrochemicals plant ,0.8146617412567139
Polish MPs ridicule Cameron's 'stupid propaganda' aimed at Eurosceptics ,"Cameron is right to stand up to Europe, says Hunt ",0.7148832678794861
Manchester United accept chances of signing Toni Kroos are 'remote' ,"Manchester United offering Toni Kroos £260,000 a week to join ",0.7625569105148315
'Tory madrasa' preaches radical message to would-be MPs ,Radicalised Tories ready to take on Labour's big guns ,0.7505078911781311
Ex-minister Denis MacShane jailed for bogus expenses claims ,Denis MacShane pleads guilty to expenses fraud ,0.8143909573554993
